participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
23,25,male,phd,4,15,1,8895
23,25,male,phd,4,16,1,6362
23,25,male,phd,4,17,0,13887
23,25,male,phd,4,18,0,4430
23,25,male,phd,4,19,0,3073
23,25,male,phd,4,20,0,9190
23,25,male,phd,4,21,1,3941
23,25,male,phd,4,22,1,5160
23,25,male,phd,4,23,1,7233
23,25,male,phd,4,24,1,7016
23,25,male,phd,4,25,1,2450
23,25,male,phd,4,26,1,8637
23,25,male,phd,4,27,0,6962
24,26,male,freshman,1,1,1,6306
24,26,male,freshman,1,2,1,9342
24,26,male,freshman,1,3,0,178
24,26,male,freshman,1,4,1,12918
24,26,male,freshman,1,5,1,35220
24,26,male,freshman,1,6,1,8301
24,26,male,freshman,1,7,1,37862
24,26,male,freshman,1,8,0,9568
24,26,male,freshman,1,9,0,6069
24,26,male,freshman,1,10,0,16141
24,26,male,freshman,1,11,0,4726
24,26,male,freshman,1,12,1,5545
24,26,male,freshman,1,13,0,3787
24,26,male,freshman,1,14,1,1636
24,26,male,freshman,1,15,1,8568
24,26,male,freshman,1,16,0,7741
24,26,male,freshman,1,17,1,17306
24,26,male,freshman,1,18,1,8637
24,26,male,freshman,1,19,1,7344
24,26,male,freshman,1,20,0,15186
24,26,male,freshman,1,21,1,2960
24,26,male,freshman,1,22,0,6624
24,26,male,freshman,1,23,1,4456
24,26,male,freshman,1,24,1,7934
24,26,male,freshman,1,25,1,8170
24,26,male,freshman,1,26,0,5306
24,26,male,freshman,1,27,1,4357
